date,btc_close,mstr_close,btc_nav_total,btc_nav_per_share,mnav,premium_to_nav,premium_to_nav_pct,mnav_30d_ma,premium_30d_ma
2024-04-30,60636.855469,106.502998,32027477505.76172,130.192998,0.818039,-0.181961,-18.196063,1.022219,0.022219
2024-05-01,58254.011719,102.827003,30768895179.66797,125.07681,0.822111,-0.177889,-17.788914,1.014078,0.014078
2024-05-02,59123.433594,112.942001,31228110772.714844,126.94354,0.889703,-0.110297,-11.029737,1.008382,0.008382
2024-05-03,62889.835938,122.301003,33217467994.648438,135.030358,0.90573,-0.09427,-9.427032,1.000661,0.000661
2024-05-06,63161.949219,126.880997,33361194148.10547,135.61461,0.9356,-0.0644,-6.440024,0.994775,-0.005225
2024-05-07,62334.816406,125.745003,32924315003.535156,133.838679,0.939527,-0.060473,-6.047337,0.984906,-0.015094
2024-05-08,61187.941406,123.311996,32318552831.660156,131.376231,0.938617,-0.061383,-6.138275,0.974557,-0.025443
2024-05-09,63049.960938,126.363998,33302043617.773438,135.374161,0.933443,-0.066557,-6.655748,0.962774,-0.037226
2024-05-10,60792.777344,118.047997,32109833101.308594,130.527777,0.90439,-0.09561,-9.561015,0.955514,-0.044486
2024-05-13,62901.449219,124.596001,33223601955.60547,135.055293,0.922555,-0.077445,-7.744452,0.949811,-0.050189
2024-05-14,61552.789062,129.763,32511259890.976562,132.159593,0.981866,-0.018134,-1.813408,0.945088,-0.054912
2024-05-15,66267.492188,150.347,35001495361.05469,142.282501,1.056679,0.056679,5.667948,0.94252,-0.05748
2024-05-16,65231.582031,143.998001,34454343155.17578,140.058306,1.028129,0.028129,2.812897,0.940183,-0.059817
2024-05-17,67051.875,158.449997,35415794596.875,143.966645,1.100602,0.100602,10.060214,0.943938,-0.056062
2024-05-20,71448.195312,172.723999,37737865041.13281,153.405955,1.125928,0.125928,12.59276,0.948678,-0.051322
2024-05-21,70136.53125,165.542007,37045063758.28125,150.58969,1.099292,0.099292,9.929177,0.952963,-0.047037
2024-05-22,69122.335938,164.699997,36509381007.14844,148.412118,1.109748,0.109748,10.974764,0.955513,-0.044487
2024-05-23,67929.5625,154.406998,35879375969.0625,145.851122,1.058662,0.058662,5.866171,0.956415,-0.043585
2024-05-24,68526.101562,168.483994,36194458953.78906,147.131947,1.145122,0.145122,14.512176,0.960401,-0.039599
2024-05-28,68296.21875,167.535004,36073038300.46875,146.638367,1.142505,0.142505,14.250456,0.965786,-0.034214
2024-05-29,67578.09375,161.869995,35693735447.34375,145.096486,1.115602,0.115602,11.560245,0.972464,-0.027536
2024-05-30,68364.992188,154.100006,36109363398.55469,146.78603,1.049827,0.049827,4.982747,0.977358,-0.022642
2024-05-31,67491.414062,152.449005,35647952536.60156,144.910376,1.052023,0.052023,5.20227,0.982893,-0.017107
2024-06-03,68804.78125,162.740997,36341653384.53125,147.730298,1.101609,0.101609,10.16088,0.991063,-0.008937
2024-06-04,70567.765625,163.876999,37272835286.640625,151.515591,1.081585,0.081585,8.158506,0.996362,-0.003638
2024-06-05,71082.820312,169.468994,37544879446.75781,152.621461,1.110388,0.110388,11.038771,1.00208,0.00208
2024-06-06,70757.164062,165.662994,37372872700.35156,151.922247,1.090446,0.090446,9.044592,1.007858,0.007858
2024-06-07,69342.585938,159.619995,36625713753.39844,148.885015,1.072102,0.072102,7.210249,1.01373,0.01373
2024-06-10,69512.28125,159.992004,36715344272.03125,149.249367,1.071978,0.071978,7.197778,1.018236,0.018236
2024-06-11,67332.03125,155.548996,35563768925.78125,144.568166,1.075956,0.075956,7.595607,1.022659,0.022659
2024-06-12,68241.1875,160.367004,36043971619.68751,146.52021,1.094504,0.094504,9.450433,1.031874,0.031874
2024-06-13,66756.398438,148.388,35259728308.71094,143.332229,1.035273,0.035273,3.52731,1.03898,0.03898
2024-06-14,66011.09375,149.554001,34866069552.34375,141.73199,1.055189,0.055189,5.518875,1.044496,0.044496
2024-06-17,66490.296875,150.725998,35119177454.921875,142.760884,1.055793,0.055793,5.579339,1.049498,0.049498
2024-06-18,65140.746094,146.942993,34406364975.52734,139.863272,1.050619,0.050619,5.061887,1.053332,0.053332
2024-06-20,64828.65625,146.539993,34241523801.406246,139.193186,1.052781,0.052781,5.278137,1.057107,0.057107
2024-06-21,64096.199219,148.376007,33854650984.35547,137.620532,1.078153,0.078153,7.815312,1.061758,0.061758
2024-06-24,60277.414062,137.214996,31837625946.601562,129.421244,1.06022,0.06022,6.022004,1.065984,0.065984
2024-06-25,61804.640625,149.574005,32644284108.515625,132.700342,1.127156,0.127156,12.715614,1.07341,0.07341
2024-06-26,60811.277344,145.772995,32119604523.808594,130.567498,1.116457,0.116457,11.645698,1.079873,0.079873
2024-06-27,61604.800781,152.539993,32538731700.64453,132.271267,1.153236,0.153236,15.323605,1.085585,0.085585
2024-06-28,60320.136719,137.748001,31860191412.79297,129.512973,1.063585,0.063585,6.358458,1.085816,0.085816
2024-07-01,62851.980469,136.597,33197473303.88672,134.949078,1.012211,0.012211,1.221143,1.085285,0.085285
2024-07-02,62029.015625,132.018997,32762795617.890625,133.182096,0.991267,-0.008733,-0.873315,1.081641,0.081641
2024-07-03,60173.921875,130.209,31782962925.546875,129.199036,1.007817,0.007817,0.781711,1.077704,0.077704
2024-07-05,56662.375,128.171997,29928216539.375,121.659417,1.053531,0.053531,5.353125,1.076178,0.076178
2024-07-08,56705.097656,129.057999,29950782005.566406,121.751146,1.060015,0.060015,6.001465,1.07452,0.07452
2024-07-09,58009.226562,130.177002,30639603331.914062,124.551233,1.045168,0.045168,4.516831,1.074071,0.074071
2024-07-10,57742.496094,130.572006,30498720299.277344,123.978538,1.053182,0.053182,5.318234,1.071006,0.071006
2024-07-11,57344.914062,135.856003,30288723434.101562,123.124892,1.1034,0.1034,10.339998,1.069703,0.069703
2024-07-12,57899.464844,139.675995,30581628838.496094,124.315564,1.12356,0.12356,12.355999,1.069968,0.069968
2024-07-15,64870.152344,161.128006,34263441415.683594,139.282282,1.156845,0.156845,15.684496,1.073535,0.073535
2024-07-16,65097.148438,166.429993,34383337347.46094,139.769664,1.190745,0.190745,19.074474,1.078159,0.078159
2024-07-17,64118.792969,159.0,33866584664.19922,137.669043,1.154944,0.154944,15.494374,1.079937,0.079937
